,調査年 コード,調査年,地域 コード,地域,/項目,A1101_総人口【人】,注釈,distance,travel_time,is_express,is_superexpress,is_bus,is_airplane
558,2015100000,2015年度,28228,兵庫県 加東市,,"40,310",,618.1,262.0,False,True,True,False
661,2015100000,2015年度,38215,愛媛県 東温市,,"34,613",,904.1,262.0,False,False,True,True
693,2015100000,2015年度,40223,福岡県 古賀市,,"57,959",,1083.3,262.0,False,False,False,True
105,2015100000,2015年度,7208,福島県 喜多方市,,"49,377",,314.1,261.0,False,True,True,False
762,2015100000,2015年度,46201,鹿児島県 鹿児島市,,"599,814",,1168.5,261.0,False,False,True,True
575,2015100000,2015年度,30204,和歌山県 有田市,,"28,470",,654.8,260.0,True,True,False,False
91,2015100000,2015年度,6206,山形県 寒河江市,,"41,256",,430.2,259.0,False,True,False,False
559,2015100000,2015年度,28229,兵庫県 たつの市,,"77,419",,662.2,259.0,False,True,True,False
610,2015100000,2015年度,34203,広島県 竹原市,,"26,426",,836.8,259.0,False,False,True,True
612,2015100000,2015年度,34205,広島県 尾道市,,"138,626",,812.7,259.0,False,True,True,False
334,2015100000,2015年度,18202,福井県 敦賀市,,"66,165",,497.4,257.0,True,True,True,False
39,2015100000,2015年度,2205,青森県 五所川原市,,"55,181",,743.0,256.0,False,True,True,False
56,2015100000,2015年度,3214,岩手県 八幡平市,,"26,355",,565.5,256.0,False,True,True,False
547,2015100000,2015年度,28217,兵庫県 川西市,,"156,375",,556.1,256.0,False,False,False,True
634,2015100000,2015年度,35216,山口県 山陽小野田市,,"62,671",,967.7,256.0,False,False,True,True
12,2015100000,2015年度,1213,北海道 苫小牧市,,"172,737",,945.9,255.0,False,False,True,True
100,2015100000,2015年度,7202,福島県 会津若松市,,"124,062",,298.0,255.0,False,True,True,False
40,2015100000,2015年度,2206,青森県 十和田市,,"63,429",,669.5,254.0,False,True,True,False
53,2015100000,2015年度,3210,岩手県 陸前高田市,,"19,758",,512.9,254.0,False,True,True,False
548,2015100000,2015年度,28218,兵庫県 小野市,,"48,580",,627.0,254.0,False,True,True,False
564,2015100000,2015年度,29205,奈良県 橿原市,,"124,111",,574.4,254.0,True,True,False,False
320,2015100000,2015年度,16210,富山県 南砺市,,"51,327",,496.0,253.0,False,True,True,False
361,2015100000,2015年度,20207,長野県 須坂市,,"50,725",,244.4,253.0,False,True,False,False
